pole_id,dt_id,true_seq_on_line,true_parent_pole_id
P-f1afaa,D-010102,1,
P-9bff38,D-010102,2,P-f1afaa
P-ce9a2c,D-010102,3,P-9bff38
P-d4e69f,D-010102,4,P-ce9a2c
P-f3a917,D-010102,5,P-d4e69f
P-0a0868,D-010102,6,P-f3a917
P-0f972c,D-010102,7,P-0a0868
P-7737e2,D-010102,8,P-ce9a2c
P-06ec10,D-010102,9,P-7737e2
P-90cec3,D-010102,10,P-06ec10
P-c77b05,D-010102,11,P-90cec3
P-c03eb9,D-010102,12,P-c77b05
P-960c2a,D-010102,13,P-c03eb9
P-929a64,D-010102,14,P-960c2a
P-970541,D-010102,15,P-929a64
P-af126f,D-010102,16,P-970541
P-e39344,D-010102,17,P-af126f
P-9e5e88,D-010102,18,P-e39344
P-e719ec,D-010102,19,P-9e5e88
P-f90d0a,D-010102,20,P-e719ec
P-ddd6b4,D-010102,21,P-f90d0a
P-39a8aa,D-010102,22,P-ddd6b4
P-a346b8,D-010102,23,P-39a8aa
P-7218ca,D-010102,24,P-a346b8
P-5599f3,D-010102,25,P-7218ca
P-7a0d4b,D-010102,26,P-f90d0a
P-b7ba79,D-010102,27,P-7a0d4b
P-642c5b,D-010202,1,
P-f16623,D-010202,2,P-642c5b
P-b57e03,D-010202,3,P-f16623
P-4dbf97,D-010202,4,P-b57e03
P-f88484,D-010202,5,P-4dbf97
P-f7c26e,D-010202,6,P-f88484
P-b23ac0,D-010202,7,P-f7c26e
P-3693d2,D-010202,8,P-b23ac0
P-409d68,D-010202,9,P-3693d2
P-3b9e5d,D-010202,10,P-409d68
P-0994c0,D-010202,11,P-3b9e5d
P-546b52,D-010202,12,P-0994c0
P-d2b3ad,D-010202,13,P-546b52
P-74f938,D-010202,14,P-d2b3ad
P-b4dc26,D-010202,15,P-74f938
P-ebd510,D-010202,16,P-b4dc26
P-9a1cc6,D-010202,17,P-ebd510
P-9faa2c,D-010202,18,P-9a1cc6
P-996470,D-010202,19,P-9faa2c
P-e36fd8,D-010202,20,P-996470
P-5a1756,D-010202,21,P-e36fd8
P-967ef6,D-010202,22,P-5a1756
P-629a9e,D-010202,23,P-967ef6
P-d92e6c,D-010202,24,P-629a9e
P-ed9ac9,D-010202,25,P-d92e6c
P-eabe1c,D-010202,26,P-ed9ac9
P-30b1dd,D-010302,1,
P-ce45e0,D-010302,2,P-30b1dd
P-0bbde9,D-010302,3,P-ce45e0
P-aedf0f,D-010302,4,P-0bbde9
P-226fd9,D-010302,5,P-aedf0f
P-948755,D-010302,6,P-226fd9
P-37746a,D-010302,7,P-948755
P-bd4016,D-010302,8,P-37746a
P-93304a,D-010302,9,P-0bbde9
P-7af3bf,D-010302,10,P-93304a
P-8d9d55,D-010302,11,P-7af3bf
P-d3d6e8,D-010302,12,P-8d9d55
P-aade72,D-010302,13,P-7af3bf
P-1557d9,D-010302,14,P-aade72
P-875048,D-010302,15,P-1557d9
P-47efbe,D-010302,16,P-875048
P-d98ef9,D-010302,17,P-1557d9
P-1e8c3c,D-010302,18,P-d98ef9
P-e933f3,D-010302,19,P-1e8c3c
P-f49382,D-010302,20,P-e933f3
P-31571b,D-010302,21,P-f49382
P-6dd6dc,D-010302,22,P-d98ef9
P-bcdfbc,D-010302,23,P-6dd6dc
P-f75354,D-010302,24,P-bcdfbc
P-0d8a0b,D-010302,25,P-f75354
P-c95b8b,D-010302,26,P-0d8a0b
P-2c9db1,D-010302,27,P-c95b8b
P-2cd3fc,D-010302,28,P-2c9db1
P-8284bc,D-010302,29,P-2cd3fc
P-671720,D-010302,30,P-0d8a0b
P-8cdfcd,D-010302,31,P-671720
P-ed2de3,D-010302,32,P-8cdfcd
P-7a0565,D-010302,33,P-ed2de3
P-0a7e8b,D-010302,34,P-7a0565
