dt_id,feeder_id,lat,lon,capacity_kva,households_served
D-010101,F-01-01,12.972789,77.5851,250,336
D-010102,F-01-01,12.975239,77.600754,100,105
D-010103,F-01-01,12.973043,77.607412,100,84
D-010201,F-01-02,12.979166,77.604569,100,275
D-010202,F-01-02,12.987443,77.607772,100,313
D-010203,F-01-02,12.978289,77.609195,400,247
D-010301,F-01-03,12.98675,77.602193,400,310
D-010302,F-01-03,12.99817,77.596547,250,400
D-010303,F-01-03,12.994374,77.611788,400,226
D-020101,F-02-01,13.005515,77.589202,250,158
D-020102,F-02-01,13.003736,77.600085,100,106
D-020103,F-02-01,12.993112,77.611689,100,282
D-020201,F-02-02,13.01741,77.599516,160,449
D-020202,F-02-02,13.008753,77.598817,100,268
D-020203,F-02-02,13.008739,77.6046,400,206
D-020301,F-02-03,13.012818,77.585612,250,370
D-020302,F-02-03,13.022056,77.609169,400,364
D-020303,F-02-03,13.019912,77.616046,400,119
