pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-c3ca56,12.972635,77.584853,F-01-01,D-010101,1,,LT-8m-Steel,W-021,560082,KSPDB-D-010101-P-c3ca56
P-5027ea,12.972407,77.584558,F-01-01,D-010101,2,P-c3ca56,LT-8m-Steel,W-087,560052,KSPDB-D-010101-P-5027ea
P-bddc15,12.97224,77.584312,F-01-01,D-010101,3,P-5027ea,LT-8m-Steel,W-097,560098,KSPDB-D-010101-P-bddc15
P-e0a4f9,12.972082,77.584051,F-01-01,D-010101,4,P-bddc15,LT-9m-Steel,W-011,560054,KSPDB-D-010101-P-e0a4f9
P-83b9ec,12.97188,77.583837,F-01-01,D-010101,5,P-e0a4f9,LT-9m-PCC,W-013,560019,KSPDB-D-010101-P-83b9ec
P-efe6aa,12.971666,77.583577,F-01-01,D-010101,6,P-83b9ec,LT-8m-Steel,W-078,560086,KSPDB-D-010101-P-efe6aa
P-8cf2b1,12.971458,77.583352,F-01-01,D-010101,7,P-efe6aa,LT-8m-Steel,W-100,560091,KSPDB-D-010101-P-8cf2b1
P-f54f69,12.971186,77.583628,F-01-01,D-010101,8,P-8cf2b1,LT-8m-Steel,W-101,560072,KSPDB-D-010101-P-f54f69
P-7fbad0,12.970928,77.583875,F-01-01,D-010101,9,P-f54f69,LT-9m-PCC,W-046,560058,KSPDB-D-010101-P-7fbad0
P-3202b8,12.970695,77.584105,F-01-01,D-010101,10,P-7fbad0,LT-8m-Steel,W-024,560094,KSPDB-D-010101-P-3202b8
P-4321fb,12.970419,77.584383,F-01-01,D-010101,11,P-3202b8,LT-8m-Steel,W-011,560047,KSPDB-D-010101-P-4321fb
P-274e5c,12.970149,77.584664,F-01-01,D-010101,12,P-4321fb,LT-9m-PCC,W-092,560044,KSPDB-D-010101-P-274e5c
P-2a784a,12.971287,77.583122,F-01-01,D-010101,13,P-8cf2b1,LT-9m-PCC,W-049,560091,KSPDB-D-010101-P-2a784a
P-61bc40,12.971516,77.5835,F-01-01,D-010101,14,P-2a784a,LT-9m-PCC,W-095,560056,KSPDB-D-010101-P-61bc40
P-1afdce,12.971694,77.583834,F-01-01,D-010101,15,P-61bc40,LT-9m-PCC,W-012,,KSPDB-D-010101-P-1afdce
P-4dcb7c,12.97192,77.584139,F-01-01,D-010101,16,P-1afdce,LT-8m-Steel,W-057,560044,KSPDB-D-010101-P-4dcb7c
P-64904c,12.971093,77.582887,F-01-01,D-010101,17,P-2a784a,LT-9m-PCC,W-017,560065,KSPDB-D-010101-P-64904c
P-476c94,12.970934,77.58259,F-01-01,D-010101,18,P-64904c,LT-8m-Steel,W-072,560062,KSPDB-D-010101-P-476c94
P-3cf755,12.970759,77.582311,F-01-01,D-010101,19,P-476c94,LT-9m-PCC,W-004,560080,KSPDB-D-010101-P-3cf755
P-77674b,12.970556,77.582103,F-01-01,D-010101,20,P-3cf755,LT-9m-PCC,W-077,560051,KSPDB-D-010101-P-77674b
P-bb156f,12.970348,77.581832,F-01-01,D-010101,21,P-77674b,LT-8m-Steel,W-002,560059,KSPDB-D-010101-P-bb156f
P-edebc9,12.970123,77.581614,F-01-01,D-010101,22,P-bb156f,LT-9m-PCC,W-093,560041,KSPDB-D-010101-P-edebc9
P-9ee6ab,12.969934,77.581316,F-01-01,D-010101,23,P-edebc9,LT-9m-Steel,W-067,560058,KSPDB-D-010101-P-9ee6ab
P-afb99c,12.969763,77.581086,F-01-01,D-010101,24,P-9ee6ab,LT-9m-PCC,W-018,560044,
P-f8dea5,12.969584,77.580874,F-01-01,D-010101,25,P-afb99c,LT-8m-Steel,W-019,560065,KSPDB-D-010101-P-f8dea5
P-2aecad,12.969368,77.580584,F-01-01,D-010101,26,P-f8dea5,LT-8m-Steel,W-054,560019,KSPDB-D-010101-P-2aecad
P-cb9cf6,12.969193,77.580358,F-01-01,D-010101,27,P-2aecad,LT-8m-Steel,W-033,560090,
P-3f97a9,12.969024,77.580091,F-01-01,D-010101,28,P-cb9cf6,LT-8m-Steel,W-077,560068,KSPDB-D-010101-P-3f97a9
P-70432e,12.968807,77.579838,F-01-01,D-010101,29,P-3f97a9,LT-9m-PCC,W-018,560060,KSPDB-D-010101-P-70432e
P-62a9de,12.968666,77.579549,F-01-01,D-010101,30,P-70432e,LT-8m-Steel,W-108,560052,
P-dd9d6e,12.968507,77.579307,F-01-01,D-010101,31,P-62a9de,LT-8m-Steel,W-043,560093,KSPDB-D-010101-P-dd9d6e
P-7aad7b,12.968338,77.579051,F-01-01,D-010101,32,P-dd9d6e,LT-9m-Steel,W-018,560087,KSPDB-D-010101-P-7aad7b
P-834336,12.968165,77.578846,F-01-01,D-010101,33,P-7aad7b,LT-9m-Steel,W-026,560032,KSPDB-D-010101-P-834336
P-574b86,12.967946,77.578634,F-01-01,D-010101,34,P-834336,LT-8m-Steel,W-041,560098,KSPDB-D-010101-P-574b86
P-7eb796,12.967796,77.578364,F-01-01,D-010101,35,P-574b86,LT-9m-Steel,W-063,560041,KSPDB-D-010101-P-7eb796
P-b7609a,12.967581,77.57806,F-01-01,D-010101,36,P-7eb796,LT-8m-Steel,W-049,560060,KSPDB-D-010101-P-b7609a
P-f1afaa,12.97551,77.600576,F-01-01,D-010102,,,LT-8m-Steel,W-015,560035,KSPDB-D-010102-P-f1afaa
P-9bff38,12.975774,77.600464,F-01-01,D-010102,,,LT-9m-Steel,W-070,560080,KSPDB-D-010102-P-9bff38
P-ce9a2c,12.97598,77.600305,F-01-01,D-010102,,,LT-9m-PCC,W-094,560036,KSPDB-D-010102-P-ce9a2c
P-d4e69f,12.976225,77.60049,F-01-01,D-010102,,,LT-8m-Steel,W-103,560098,KSPDB-D-010102-P-d4e69f
P-f3a917,12.97653,77.60077,F-01-01,D-010102,,,LT-9m-PCC,W-105,560062,KSPDB-D-010102-P-f3a917
P-0a0868,12.976752,77.601,F-01-01,D-010102,,,LT-9m-Steel,W-064,560048,KSPDB-D-010102-P-0a0868
P-0f972c,12.976972,77.60126,F-01-01,D-010102,,,LT-9m-PCC,W-033,560064,KSPDB-D-010102-P-0f972c
P-7737e2,12.976268,77.600125,F-01-01,D-010102,,,LT-8m-Steel,W-010,560086,KSPDB-D-010102-P-7737e2
P-06ec10,12.976532,77.599959,F-01-01,D-010102,,,LT-8m-Steel,W-075,560074,KSPDB-D-010102-P-06ec10
P-90cec3,12.976784,77.599787,F-01-01,D-010102,,,LT-9m-Steel,W-054,560056,KSPDB-D-010102-P-90cec3
P-c77b05,12.977067,77.599615,F-01-01,D-010102,,,LT-9m-Steel,W-115,560086,KSPDB-D-010102-P-c77b05
P-c03eb9,12.977378,77.59949,F-01-01,D-010102,,,LT-9m-Steel,W-118,560041,KSPDB-D-010102-P-c03eb9
P-960c2a,12.97764,77.599309,F-01-01,D-010102,,,LT-9m-Steel,W-086,560092,KSPDB-D-010102-P-960c2a
P-929a64,12.977882,77.599177,F-01-01,D-010102,,,LT-9m-Steel,W-006,560092,KSPDB-D-010102-P-929a64
P-970541,12.978112,77.598991,F-01-01,D-010102,,,LT-9m-Steel,W-083,560052,KSPDB-D-010102-P-970541
P-af126f,12.978343,77.598892,F-01-01,D-010102,,,LT-8m-Steel,W-014,,KSPDB-D-010102-P-af126f
P-e39344,12.978557,77.598724,F-01-01,D-010102,,,LT-8m-Steel,W-029,560076,KSPDB-D-010102-P-e39344
P-9e5e88,12.978787,77.598544,F-01-01,D-010102,,,LT-9m-Steel,W-075,560038,KSPDB-D-010102-P-9e5e88
P-e719ec,12.979053,77.5984,F-01-01,D-010102,,,LT-8m-Steel,W-048,560096,KSPDB-D-010102-P-e719ec
P-f90d0a,12.979345,77.598226,F-01-01,D-010102,,,LT-9m-Steel,W-089,560054,
P-ddd6b4,12.979281,77.598117,F-01-01,D-010102,,,LT-9m-PCC,W-062,560063,KSPDB-D-010102-P-ddd6b4
P-39a8aa,12.979195,77.598071,F-01-01,D-010102,,,LT-9m-PCC,W-015,560028,KSPDB-D-010102-P-39a8aa
P-a346b8,12.979047,77.598032,F-01-01,D-010102,,,LT-8m-Steel,W-040,560036,KSPDB-D-010102-P-a346b8
P-7218ca,12.978977,77.597929,F-01-01,D-010102,,,LT-9m-Steel,W-062,560022,KSPDB-D-010102-P-7218ca
P-5599f3,12.978842,77.597871,F-01-01,D-010102,,,LT-8m-Steel,W-093,560050,KSPDB-D-010102-P-5599f3
P-7a0d4b,12.979567,77.598052,F-01-01,D-010102,,,LT-9m-PCC,W-039,560024,KSPDB-D-010102-P-7a0d4b
P-b7ba79,12.979865,77.597866,F-01-01,D-010102,,,LT-9m-PCC,W-109,560023,KSPDB-D-010102-P-b7ba79
P-f30ab7,12.973336,77.607709,F-01-01,D-010103,1,,LT-9m-Steel,W-103,560041,KSPDB-D-010103-P-f30ab7
P-4f7b5b,12.973654,77.607961,F-01-01,D-010103,2,P-f30ab7,LT-9m-Steel,W-023,560052,KSPDB-D-010103-P-4f7b5b
P-1b8b2e,12.974033,77.608235,F-01-01,D-010103,3,P-4f7b5b,LT-9m-Steel,W-055,560039,
P-21389a,12.974357,77.608525,F-01-01,D-010103,4,P-1b8b2e,LT-8m-Steel,W-081,560091,KSPDB-D-010103-P-21389a
P-cf7421,12.974737,77.608829,F-01-01,D-010103,5,P-21389a,LT-9m-Steel,W-056,560088,KSPDB-D-010103-P-cf7421
P-5afcaf,12.975029,77.609106,F-01-01,D-010103,6,P-cf7421,LT-9m-PCC,W-058,560059,KSPDB-D-010103-P-5afcaf
P-22dca9,12.975366,77.609409,F-01-01,D-010103,7,P-5afcaf,LT-9m-PCC,W-091,560045,KSPDB-D-010103-P-22dca9
P-e79dfc,12.975648,77.609717,F-01-01,D-010103,8,P-22dca9,LT-9m-Steel,W-104,560083,KSPDB-D-010103-P-e79dfc
P-2c7c26,12.976013,77.609979,F-01-01,D-010103,9,P-e79dfc,LT-9m-PCC,W-103,560033,KSPDB-D-010103-P-2c7c26
P-ccc912,12.976297,77.610245,F-01-01,D-010103,10,P-2c7c26,LT-8m-Steel,W-042,560024,KSPDB-D-010103-P-ccc912
